   Date_time,             Date,                 X,             Y,              hNew,              thNew,          Temp
      38816.000000,     04/09/2006,          0.0000,        145.0000,     -20000.0000,         -0.0000,          4.9037
      38816.000000,     04/09/2006,          3.2700,        145.0000,     -20000.0000,         -0.0000,          4.9048
      38816.000000,     04/09/2006,          5.3300,        145.0000,     -20000.0000,         -0.0000,          4.9048
      38816.000000,     04/09/2006,          8.2100,        145.0000,     -20000.0000,         -0.0000,          4.9030
      38816.000000,     04/09/2006,         12.2400,        145.0000,     -20000.0000,         -0.0000,          4.9026
      38816.000000,     04/09/2006,         17.8900,        145.0000,     -20000.0000,         -0.0000,          4.9014
      38816.000000,     04/09/2006,         25.8000,        145.0000,     -20000.0000,         -0.0000,          4.8943
      38816.000000,     04/09/2006,         38.1000,        145.0000,     -20000.0000,         -0.0000,          4.8902
      38816.000000,     04/09/2006,          0.0000,        146.6662,     -20000.0000,         -0.0000,          4.6857
      38816.000000,     04/09/2006,          3.2700,        146.6662,     -20006.1204,          0.0000,          4.6871
      38816.000000,     04/09/2006,          5.3300,        146.6662,     -20006.6036,          0.0000,          4.6871
      38816.000000,     04/09/2006,          8.2100,        146.6662,     -20000.0000,         -0.0000,          4.6852
      38816.000000,     04/09/2006,         12.2400,        146.6662,     -20000.0000,         -0.0000,          4.6848
      38816.000000,     04/09/2006,         17.8900,        146.6662,     -20000.0000,         -0.0000,          4.6839
      38816.000000,     04/09/2006,         25.8000,        146.6662,     -20000.0000,         -0.0000,          4.6782
      38816.000000,     04/09/2006,         38.1000,        146.6662,     -20000.0000,         -0.0000,          4.6750
      38816.000000,     04/09/2006,          0.0000,        148.3325,     -20000.0000,         -0.0000,          4.2555
      38816.000000,     04/09/2006,          3.2700,        148.3325,     -20006.1197,         -0.0000,          4.2566
      38816.000000,     04/09/2006,          5.3300,        148.3325,     -20006.6028,         -0.0000,          4.2567
      38816.000000,     04/09/2006,          8.2100,        148.3325,     -20000.0000,         -0.0000,          4.2553
      38816.000000,     04/09/2006,         12.2400,        148.3325,     -20000.0000,         -0.0000,          4.2551
      38816.000000,     04/09/2006,         17.8900,        148.3325,     -20000.0000,         -0.0000,          4.2546
      38816.000000,     04/09/2006,         25.8000,        148.3325,     -20000.0000,         -0.0000,          4.2519
      38816.000000,     04/09/2006,         38.1000,        148.3325,     -20000.0000,         -0.0000,          4.2503
      38816.000000,     04/09/2006,          0.0000,        149.9991,     -20000.0000,         -0.0000,          4.0433
      38816.000000,     04/09/2006,          3.2700,        149.9991,     -20000.0000,         -0.0000,          4.0438
