               time,               Date,           Rainfall,      Inifiltration,         Runoff@end,       WaterStorage,      LeftDischarge,      RightDischarge
  38814.0000  04/07/2006        0.0163        0.0000        0.0000        0.0000        0.0000        0.0000
  38814.0417  04/07/2006        6.5675        6.5412        0.0000        0.0000        0.0000        0.0000
  38814.0833  04/07/2006        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38814.1250  04/07/2006        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38814.1667  04/07/2006        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38814.2083  04/07/2006        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38814.2500  04/07/2006        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38814.2917  04/07/2006        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38814.3333  04/07/2006        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38814.3750  04/07/2006        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38814.4167  04/07/2006        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38814.4583  04/07/2006        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38814.5000  04/07/2006        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38814.5417  04/07/2006        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38814.5833  04/07/2006        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38814.6250  04/07/2006        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38814.6667  04/07/2006        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38814.7083  04/07/2006        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38814.7500  04/07/2006        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38814.7917  04/07/2006        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38814.8333  04/07/2006        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38814.8750  04/07/2006        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38814.9167  04/07/2006        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38814.9583  04/07/2006        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38815.0000  04/08/2006        4.7625        4.7086        0.0000        0.0000        0.0000        0.0000
  38815.0417  04/08/2006       18.9759       18.7602        0.0000        0.0000        0.0000        0.0000
  38815.0833  04/08/2006       12.7592       12.5408        0.0000        0.0000        0.0000        0.0000
  38815.1250  04/08/2006        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38815.1667  04/08/2006        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38815.2083  04/08/2006        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38815.2500  04/08/2006        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38815.2917  04/08/2006        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38815.3333  04/08/2006        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38815.3750  04/08/2006        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38815.4167  04/08/2006        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38815.4583  04/08/2006        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38815.5000  04/08/2006        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38815.5417  04/08/2006        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
