 time,             Date,               Min_N,              Humus_N,            Humus_C,                Manure_N,           Manure_C,           Litter_N,           Litter_C,             CO2_C,                 Ammon_N,            All_N,              All_C,                water,                Denitr,             CFlux,              Mul_CARB_N,         Mul_CELL_N,            Mul_LIGN_N,         Tot_res_N,            Mul_Thick,          Mul_Mass,            Mul_CNR
  37712.0000,  04/01/2003,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000
  37713.0000,  04/02/2003,            506.7145,          27786.2656,         322320.5312,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              1.3673,          28294.3496,         322320.5312,           2644.7405,              0.0000,             -0.1878,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000
  37714.0000,  04/03/2003,            506.5351,          27784.8711,         322304.6875,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              2.7275,          28294.1348,         322304.6875,           2626.7202,              0.0000,             -0.3669,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000
  37715.0000,  04/04/2003,            506.3738,          27783.6152,         322289.8438,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              4.0168,          28294.0059,         322289.8438,           2613.3203,              0.0000,             -0.5287,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000
  37716.0000,  04/05/2003,            506.2281,          27782.5273,         322277.4688,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              5.0860,          28293.8418,         322277.4688,           2639.0276,              0.0000,             -0.6754,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000
  37717.0000,  04/06/2003,            506.0970,          27781.6133,         322266.5625,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              6.0085,          28293.7168,         322266.5625,           2623.3623,              0.0000,             -0.8066,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000
  37718.0000,  04/07/2003,            505.9755,          27780.7734,         322256.9688,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              6.8419,          28293.5918,         322256.9688,           2656.5215,              0.0000,             -0.9276,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000
  37719.0000,  04/08/2003,            505.8639,          27780.0020,         322248.0938,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              7.6123,          28293.4805,         322248.0938,           2669.7473,              0.0000,             -1.0391,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000
  37720.0000,  04/09/2003,            505.7619,          27779.2949,         322239.3438,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              8.3382,          28293.3965,         322239.3438,           2651.1453,              0.0000,             -1.1417,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000
  37721.0000,  04/10/2003,            505.6654,          27778.5840,         322231.4062,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              9.0414,          28293.2930,         322231.4062,           2626.9661,              0.0000,             -1.2382,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000
