                time                Date            Rainfall       Inifiltration          Runoff@end        WaterStorage       LeftDischarge      RightDischarge
  37712.0000  04/01/2003        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37712.0417  04/01/2003        0.0000       -0.5530        0.0000        0.0000        0.0000        0.0000
  37712.0833  04/01/2003        0.0000       -0.5121        0.0000        0.0000        0.0000        0.0000
  37712.1250  04/01/2003        0.0000       -0.4943        0.0000        0.0000        0.0000        0.0000
  37712.1667  04/01/2003        0.0000       -0.4422        0.0000        0.0000        0.0000        0.0000
  37712.2083  04/01/2003        0.0000       -0.4257        0.0000        0.0000        0.0000        0.0000
  37712.2500  04/01/2003        0.0000       -0.4109        0.0000        0.0000        0.0000        0.0000
  37712.2917  04/01/2003        0.0000       -0.5336        0.0000        0.0000        0.0000        0.0000
  37712.3333  04/01/2003        0.0000       -1.0681        0.0000        0.0000        0.0000        0.0000
  37712.3750  04/01/2003        0.0000       -1.8923        0.0000        0.0000        0.0000        0.0000
  37712.4167  04/01/2003        0.0000       -2.7352        0.0000        0.0000        0.0000        0.0000
  37712.4583  04/01/2003        0.0000       -3.4214        0.0000        0.0000        0.0000        0.0000
  37712.5000  04/01/2003        0.0000       -3.7419        0.0000        0.0000        0.0000        0.0000
  37712.5417  04/01/2003        0.0000       -3.7419        0.0000        0.0000        0.0000        0.0000
  37712.5833  04/01/2003        0.0000       -3.7419        0.0000        0.0000        0.0000        0.0000
  37712.6250  04/01/2003        0.0000       -3.7419        0.0000        0.0000        0.0000        0.0000
  37712.6667  04/01/2003        0.0000       -3.7419        0.0000        0.0000        0.0000        0.0000
  37712.7083  04/01/2003        0.0000       -3.7419        0.0000        0.0000        0.0000        0.0000
  37712.7500  04/01/2003        0.0000       -3.7419        0.0000        0.0000        0.0000        0.0000
  37712.7917  04/01/2003        0.0000       -3.7419        0.0000        0.0000        0.0000        0.0000
  37712.8333  04/01/2003        0.0000       -3.7419        0.0000        0.0000        0.0000        0.0000
  37712.8750  04/01/2003        0.0000       -3.7419        0.0000        0.0000        0.0000        0.0000
  37712.9167  04/01/2003        0.0000       -3.7419        0.0000        0.0000        0.0000        0.0000
  37712.9583  04/01/2003        0.0000       -3.7419        0.0000        0.0000        0.0000        0.0000
